movie_name,movie_score,movie_general,movie_cast,movie_music,movie_director,movie_story,movie_scene
tt3682448.csv,8.6913125,"('s: 0', 'c: 0')","('s: 32.7713', 'c: 77')","('s: 0.6249', 'c: 1')","('s: 14.0981', 'c: 35')","('s: 19.0279', 'c: 66')","('s: 4.351', 'c: 13')"
tt2096673.csv,8.699407895,"('s: 0', 'c: 0')","('s: 0', 'c: 0')","('s: 0', 'c: 0')","('s: 0.6249', 'c: 1')","('s: 16.3661', 'c: 49')","('s: 11.1245', 'c: 26')"
tt0133093.csv,8.735697248,"('s: 0', 'c: 0')","('s: 13.9217', 'c: 34')","('s: 4.2198', 'c: 8')","('s: 2.1692', 'c: 4')","('s: 11.3087', 'c: 32')","('s: 9.0997', 'c: 31')"
tt1289401.csv,8.768826087,"('s: 0', 'c: 0')","('s: 8.8009', 'c: 21')","('s: -0.0258', 'c: 1')","('s: 3.4958', 'c: 8')","('s: 8.7802', 'c: 27')","('s: 4.9538', 'c: 12')"
tt0470752.csv,8.815232759,"('s: 0', 'c: 0')","('s: 9.2235', 'c: 24')","('s: 2.5713', 'c: 7')","('s: 7.9189', 'c: 15')","('s: 21.0586', 'c: 61')","('s: 3.4844', 'c: 9')"
tt1587310.csv,8.821826446,"('s: 0', 'c: 0')","('s: 44.2009', 'c: 97')","('s: 0.25', 'c: 1')","('s: 0.5859', 'c: 1')","('s: 43.7092', 'c: 130')","('s: 3.7422', 'c: 13')"
tt0076759.csv,8.827015385,"('s: 0', 'c: 0')","('s: 7.3118', 'c: 18')","('s: 3.7197', 'c: 9')","('s: 5.5008', 'c: 28')","('s: 24.8538', 'c: 56')","('s: 8.3651', 'c: 19')"
tt2948356.csv,8.881934066,"('s: 0', 'c: 0')","('s: 2.0425', 'c: 5')","('s: 0.3363', 'c: 4')","('s: 0', 'c: 0')","('s: 18.2119', 'c: 47')","('s: 14.7349', 'c: 35')"
tt0167261.csv,8.883923729,"('s: 0', 'c: 0')","('s: 3.1965', 'c: 7')","('s: 1.764', 'c: 3')","('s: 15.0123', 'c: 39')","('s: 16.6121', 'c: 43')","('s: 9.2454', 'c: 26')"
tt0169547.csv,8.930463576,"('s: 0', 'c: 0')","('s: 23.9817', 'c: 57')","('s: 2.7492', 'c: 6')","('s: 4.4078', 'c: 14')","('s: 22.7051', 'c: 60')","('s: 5.5062', 'c: 14')"
tt1646971.csv,9.12722807,"('s: 0', 'c: 0')","('s: 0.8803', 'c: 2')","('s: 2.8666', 'c: 8')","('s: 0.7003', 'c: 1')","('s: 19.5551', 'c: 53')","('s: 23.0481', 'c: 50')"
tt0167260.csv,9.1894,"('s: 0', 'c: 0')","('s: 2.4499', 'c: 7')","('s: 0.7891', 'c: 5')","('s: 11.9998', 'c: 31')","('s: 15.1857', 'c: 35')","('s: 9.3748', 'c: 17')"
tt0068646.csv,9.296948148,"('s: 0', 'c: 0')","('s: 18.0831', 'c: 40')","('s: 2.7499', 'c: 5')","('s: 13.2677', 'c: 30')","('s: 20.7611', 'c: 46')","('s: 3.147', 'c: 14')"
tt2980516.csv,9.364216931,"('s: 0', 'c: 0')","('s: 42.1935', 'c: 100')","('s: 0', 'c: 0')","('s: 1.0263', 'c: 2')","('s: 35.7667', 'c: 77')","('s: 3.4972', 'c: 10')"
tt2245084.csv,9.867195122,"('s: 0', 'c: 0')","('s: 0', 'c: 0')","('s: 0.5719', 'c: 1')","('s: 0.2263', 'c: 1')","('s: 25.915', 'c: 56')","('s: 33.1533', 'c: 65')"
