movie_name,movie_score,imp_aspect,movie_general,movie_cast,movie_music,movie_director,movie_story,movie_scene
tt2179136.csv,6.831434599156118,MOVIE_CAST,"('s: 0', 'c: 0')","('s: 49.00625', 'c: 131')","('s: 1.075', 'c: 4')","('s: 12.2791666667', 'c: 33')","('s: 16.2120833333', 'c: 40')","('s: 8.2375', 'c: 29')"
tt2245084.csv,7.324119543650794,MOVIE_SCENE,"('s: 0', 'c: 0')","('s: 0', 'c: 0')","('s: 2.0', 'c: 3')","('s: 0.2', 'c: 1')","('s: 37.8308333333', 'c: 81')","('s: 38.0595833333', 'c: 83')"
tt2267998.csv,6.857368326118326,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 18.1541666667', 'c: 44')","('s: 0.775', 'c: 3')","('s: 7.97083333333', 'c: 24')","('s: 55.2854166667', 'c: 149')","('s: 3.625', 'c: 11')"
tt2278388.csv,7.082423941798941,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 14.9354166667', 'c: 37')","('s: 5.0', 'c: 9')","('s: 38.2625', 'c: 84')","('s: 36.53125', 'c: 97')","('s: 10.225', 'c: 25')"
tt2379713.csv,7.0426611498257845,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 20.4375', 'c: 55')","('s: 1.7375', 'c: 4')","('s: 3.225', 'c: 8')","('s: 36.5907738095', 'c: 87')","('s: 21.7583333333', 'c: 51')"
tt2381249.csv,7.0676429567642955,MOVIE_CAST,"('s: 0', 'c: 0')","('s: 38.6229166667', 'c: 98')","('s: 2.03125', 'c: 7')","('s: 0.325', 'c: 2')","('s: 28.4729166667', 'c: 65')","('s: 29.38125', 'c: 67')"
tt2381941.csv,7.187764830508474,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 44.9', 'c: 103')","('s: 3.75', 'c: 6')","('s: 0', 'c: 0')","('s: 47.69375', 'c: 112')","('s: 6.91875', 'c: 15')"
tt2395427.csv,6.740006345177665,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 1.99166666667', 'c: 6')","('s: 1.375', 'c: 2')","('s: 3.0625', 'c: 14')","('s: 40.3291666667', 'c: 105')","('s: 21.7979166667', 'c: 70')"
tt2488496.csv,7.191666666666666,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 0.625', 'c: 1')","('s: 0', 'c: 0')","('s: 1.275', 'c: 4')","('s: 6.86666666667', 'c: 15')","('s: 0', 'c: 0')"
tt2543164.csv,7.123697916666667,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 23.7916666667', 'c: 48')","('s: 3.72916666667', 'c: 9')","('s: 8.58333333333', 'c: 21')","('s: 40.5', 'c: 99')","('s: 8.34375', 'c: 23')"
tt2562232.csv,7.068762781186094,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 18.9208333333', 'c: 43')","('s: 0.575', 'c: 3')","('s: 2.5', 'c: 6')","('s: 39.1625', 'c: 90')","('s: 6.28333333333', 'c: 21')"
tt2582802.csv,7.071754385964912,MOVIE_CAST,"('s: 0', 'c: 0')","('s: 26.6120833333', 'c: 69')","('s: 16.0666666667', 'c: 41')","('s: 2.875', 'c: 7')","('s: 28.7854166667', 'c: 57')","('s: 4.3875', 'c: 16')"
tt2582846.csv,7.3841213298791,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 9.60625', 'c: 28')","('s: 1.25', 'c: 3')","('s: 0.375', 'c: 1')","('s: 74.8458333333', 'c: 150')","('s: 5.95', 'c: 11')"
tt2674426.csv,7.131404320987653,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 48.1958333333', 'c: 115')","('s: 5.6125', 'c: 16')","('s: 4.425', 'c: 7')","('s: 54.5416666667', 'c: 126')","('s: 2.32083333333', 'c: 6')"
tt2719848.csv,6.982519841269841,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 9.72708333333', 'c: 26')","('s: 2.625', 'c: 7')","('s: 2.175', 'c: 7')","('s: 56.51375', 'c: 142')","('s: 12.225', 'c: 28')"
tt2820852.csv,6.857632080610021,MOVIE_CAST,"('s: 0', 'c: 0')","('s: 45.6479166667', 'c: 139')","('s: 0.625', 'c: 2')","('s: 7.45', 'c: 20')","('s: 35.50375', 'c: 83')","('s: 24.4604166667', 'c: 62')"
tt2872732.csv,6.918133202099738,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 24.09', 'c: 58')","('s: 0.875', 'c: 1')","('s: 7.66666666667', 'c: 22')","('s: 50.3928333333', 'c: 125')","('s: 14.4166666667', 'c: 48')"
tt2908446.csv,6.981182795698925,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 9.22916666667', 'c: 26')","('s: 1.0', 'c: 1')","('s: 1.28125', 'c: 3')","('s: 38.09375', 'c: 92')","('s: 11.8125', 'c: 33')"
tt2911666.csv,7.028430134680135,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 30.9583333333', 'c: 75')","('s: 1.875', 'c: 4')","('s: 0', 'c: 0')","('s: 29.5425', 'c: 77')","('s: 17.95', 'c: 42')"
tt2948356.csv,7.2445932539682545,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 1.9625', 'c: 7')","('s: 2.03333333333', 'c: 5')","('s: 0', 'c: 0')","('s: 32.01875', 'c: 69')","('s: 20.5491666667', 'c: 45')"
tt2980516.csv,7.221419590643274,MOVIE_CAST,"('s: 0', 'c: 0')","('s: 58.71675', 'c: 144')","('s: 0.5', 'c: 1')","('s: 1.625', 'c: 4')","('s: 58.0416666667', 'c: 116')","('s: 7.7375', 'c: 20')"
tt3040964.csv,7.02046943231441,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 23.7166666667', 'c: 53')","('s: 4.875', 'c: 12')","('s: 8.02916666667', 'c: 22')","('s: 41.8375', 'c: 103')","('s: 14.0791666667', 'c: 39')"
tt3076658.csv,7.009826167728237,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 51.4066666667', 'c: 129')","('s: 1.875', 'c: 6')","('s: 4.075', 'c: 10')","('s: 57.85625', 'c: 141')","('s: 11.0041666667', 'c: 28')"
tt3170832.csv,6.935893449419569,MOVIE_CAST,"('s: 0', 'c: 0')","('s: 36.1875', 'c: 95')","('s: 1.3125', 'c: 3')","('s: 1.625', 'c: 5')","('s: 33.8479166667', 'c: 83')","('s: 4.85', 'c: 15')"
tt3183660.csv,6.9033133865248235,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 21.0958333333', 'c: 53')","('s: 5.125', 'c: 13')","('s: 3.6125', 'c: 7')","('s: 36.95', 'c: 102')","('s: 4.78125', 'c: 13')"
tt3659388.csv,6.953176997810618,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 22.7354166667', 'c: 57')","('s: 2.98630952381', 'c: 7')","('s: 8.28333333333', 'c: 22')","('s: 30.3405', 'c: 71')","('s: 3.625', 'c: 17')"
tt3682448.csv,6.9309662485065715,MOVIE_CAST,"('s: 0', 'c: 0')","('s: 38.7645833333', 'c: 101')","('s: 1.55', 'c: 3')","('s: 19.1083333333', 'c: 49')","('s: 36.3416666667', 'c: 94')","('s: 11.9833333333', 'c: 32')"
tt4046784.csv,7.094705657492355,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 7.25', 'c: 14')","('s: 1.1125', 'c: 3')","('s: 0', 'c: 0')","('s: 28.4395833333', 'c: 64')","('s: 8.8625', 'c: 28')"
tt4160708.csv,6.905707465277777,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 14.9916666667', 'c: 46')","('s: 1.125', 'c: 2')","('s: 9.89583333333', 'c: 24')","('s: 37.1791666667', 'c: 94')","('s: 9.9875', 'c: 26')"
